"HDR","FEC","8.5","FECfile","8.5.0.0(f33)","",""
"F3XN","C00892471","MAGA INC.","","C/O BULLDOG COMPLIANCE","100 CUMMINGS CENTER STE 306-P","BEVERLY","MA","01915","M3","","","","20260201","20260228","","GANTT","CHARLES","","","","20260320","310894261.17","1523742.12","312418003.29","132432.58","312285570.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1523742.12","0.00","0.00","0.00","1523742.12","1523742.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","132432.58","0.00","0.00","0.00","0.00","132432.58","132432.58","0.00","0.00","0.00","0.00","0.00","0.00","304395525.76","2026","8100538.28","312496064.04","210493.33","312285570.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8100538.28","0.00","0.00","0.00","8100538.28","8100538.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","210493.33","0.00","0.00","0.00","0.00","210493.33","210493.33","0.00","0.00","0.00","0.00","0.00","0.00"
"SA17","C00892471","SA17.5221","","","ORG","HEALTHEQUITY TRUST COMPANY","","","","","","15 W. SCENIC POINTE DR., STE. 100","","DRAPER","UT","84020","","","20260206","1000000.00","1000000.00","NON-CONTRIBUTION","","","","","","","","","","","","","","","","","","","","","",""
"SA17","C00892471","SA17.5222","","","ORG","JP MORGAN CHASE BANK, N.A.","","","","","","270 PARK AVENUE","","NEW YORK","NY","10017","","","20260227","523692.12","1100413.28","NON-CONTRIBUTION: INTEREST","","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5225","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","BATTERY PARK CITY","NEW YORK CITY","NY","10285","","","20260203","42547.84","","NON-CONTRIBUTION: CREDIT CARD PAYMENT: SEE MEMO ENTRIES IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5248","","","ORG","BROWN AND JOSEPH LLC","","","","","","ONE PIERCE PLACE SUITE 700W","","ITASCA","IL","60143","","","20260112","982.00","","NON-CONTRIBUTION: CREDIT CARD PMT [SB21B.5225]: INSURANCE","","","","","","","","","","","","","","","","","","","X","",""
"SB29","C00892471","SB29.5226","","","ORG","BULLDOG COMPLIANCE","","","","","","100 CUMMINGS CENTER STE 306-P","","BEVERLY","MA","01915","","","20260226","10000.00","","NON-CONTRIBUTION: COMPLIANCE CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5227","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260205","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5228","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260206","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5229","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260213","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5230","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260213","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5231","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260220","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5232","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260224","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5233","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260226","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5234","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260226","41.67","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
